restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,BREAKFAST,BREAKFAST,SANDWICH TRAY,"All breakfast sandwiches come with two local fried eggs and American cheese. Choice of: - Egg and cheese - Bacon, egg and cheese - Ham, egg and cheese - Sausage, egg and cheese (Ketchup, S&P included on the side)",$6.00 per person
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,BREAKFAST,BREAKFAST,fruitplatter,Includes an assortment of fresh cut seasonal fruit,$6.00 per person
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,BREAKFAST,BREAKFAST,BOXED COFFEE,"Serves 12, includes cups, stirrers, creamer, sugar and sugar substitute",$19.95
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,DELI PLATTERS,DELI PLATTERS,COLD HERO PLATTER,"House -roasted herb -rubbed turkey, house -roasted garlic and herb -rubbed roast beef, nitrate -free ham and an assortment of sliced cheeses. Heroes include lettuce, tomato, shaved red onion (on the side), Hellmann's mayo and Gulden's spicy brown mustard‍Fresh Mozz Hero with thick -sliced house -made mozzarella, pesto Genovese, lettuce and tomato also available upon request",$9.95 per person | Add Italian Mix +$1.00 per person
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,DELI PLATTERS,DELI PLATTERS,TRADITIONAL COLD CUT PLATTER,"Sliced house -roasted herb -rubbed turkey, house -roasted garlic and herb -rubbed roast beef and nitrate -free ham, American, provolone and havarti cheeses‍Platter includes rolls, lettuce, tomato, shaved red onion, pickles, Hellmann's mayo and Gulden's spicy brown mustard",$9.95 per person
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,DELI PLATTERS,DELI PLATTERS,ITALIAN COLD CUT PLATTER,"Sliced mortadella, prosciutto di Parma, Genoa salami, capicola, house -made fresh mozz, sharp provolone, roasted red peppers, artichokes and Castelvetrano olives‍Platter includes rolls, Hellmann's mayo, Gulden's spicy brown mustard and red wine vinaigretteCharcuterie Platter$11.95 per personSliced mortadella, prosciutto di Parma, Genoa salami, capicola, house -made fresh mozz, sharp provolone, roasted red peppers, artichokes and Castelvetrano olives",$12.95 per person
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,PARTY HEROES,PARTY HEROES,3 Foot Party Hero,"A fresh baked-to-order 3- or 4-foot party hero that includes a mix of our house-roasted herb-rubbed turkey, house-roasted garlic and herb-rubbed roast beef and nitrate-free ham, American cheese, lettuce, tomato, shaved red onion (on the side).IItalian Mix Upgrade - 3 Foot +$30, 4 Foot +$40A fresh baked-to-order 3- or 4-foot party hero that includes a mix of nitrate-free ham, capicola, Genoa salami, mortadella, prosciutto di Parma, sharp provolone, shaved red onion, lettuce, oregano, red wine vinaigrette‍Please note: 48-hour notice required on all Party Heroes",$89.95
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,PARTY HEROES,PARTY HEROES,4 Foot Party Hero,"A fresh baked-to-order 3- or 4-foot party hero that includes a mix of our house-roasted herb-rubbed turkey, house-roasted garlic and herb-rubbed roast beef and nitrate-free ham, American cheese, lettuce, tomato, shaved red onion (on the side).IItalian Mix Upgrade - 3 Foot +$30, 4 Foot +$40A fresh baked-to-order 3- or 4-foot party hero that includes a mix of nitrate-free ham, capicola, Genoa salami, mortadella, prosciutto di Parma, sharp provolone, shaved red onion, lettuce, oregano, red wine vinaigrette‍Please note: 48-hour notice required on all Party Heroes",$104.95
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,DELI SALADS,DELI SALADS,COLESLAW,Classic deli style,$5/LB
Fat Paulie's Deli,https://www.fatpaulies.com/,Catering Menu,DELI SALADS,DELI SALADS,MACARONI SALAD,Classic Long Island sweet and sour style,$6/LB
