restaurant_name,restaurant_url,menu_type,name,description,price
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Farmhouse Pizza,"Three-day sourdough crust made with Farmer Ground flour from Ithaca, local mozzarella cheese and tomato sauce made with tomatoes and herbs from 9 Miles East Farm and our friends' farms in season.",$23.50
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Barnyard Pizza,"Local Italian sausage, house tomato sauce, creamy mozzarella, three-day sourdough crust made with Farmer Ground flour from Ithaca",$25.50
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Pepperoni Pizza,"Nitrate-free pepperoni from Black River Smokehouse, house tomato sauce, creamy mozzarella, three-day sourdough crust made with Farmer Ground flour",$25.50
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Simple Salad,"Organic baby greens, farm-made herb vinaigrette, pumpkin seeds. Very simple, very healthy.",$11.00
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Seasons pizza: Hot Honey,"Farm-made tomato sauce, local mozzarella, and spicy/sweet hot honey on our three-day sourdough crust.",$24.50
9 Miles East Farm,https://www.9mileseast.com/,Popular Items,Seasons Pizza: Sauteed mushroom,"Classic mushroom pizza: freshly sauteed mushrooms, creamy mozzarella, farm-made tomato sauce

Three-day sourdough crust made with Farmer Ground flour from Ithaca.",$24.50
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Extra Dressing,House-made vinaigrettes,$2.00
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Breakfast Hero,"Scrambled eggs, roasted veg, herb pesto, cheese & ham. Served on our house-baked sourdough roll.",$12.00
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Grilled Ham Sandwich,"Nitrate-free ham, dijon mustard, fontina cheese, dill pickle. Served on our house-baked sourdough roll.",$12.00
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Salmon Sunday Sandwich,"Cold-smoked salmon, cream cheese, tomato, red onion, capers. Served on our house sourdough pagnotelle.",$18.00
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Turkey Sandwich,"House brined & roasted VT turkey breast, greens, dill pickle, fontina cheese and tomato aioli. Served on our house-baked sourdough roll.",$12.00
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,"""Indecision"" Meal Deal","One Farmhouse pizza, four pieces of grilled chicken over garlic mashed root veg, a simple salad with organic baby greens and herb vinaigrette, and two bakery desserts.",$58.50
9 Miles East Farm,https://www.9mileseast.com/,Cafe Entrees,Argentinian Sandwich,"Grilled Walden Meats chorizo sausage, chimichurri, crunchy veg. Served on our house sourdough roll.",$15.00
