restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,SPICY MISO RAMEN,"Ramen noodle in spicy Miso broth topped with your choice of thin slice beef or Chashu (braised pork belly), cabbage, seaweeds, scallions, sesame seed and boiled egg",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,VEGETABLE RAMEN,"Ramen noodle in shoyu broth or Miso broth topped with shredded steamed vegetable seaweed, scallions, seasame seed and boiled egg.",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,HAKATA CLASSIC RAMEN,"Ramen Noodle in Tonkotsu (pork) broth or Miso broth topped Chashu (braised pork belly), cabbage, seaweed, pickle ginger, scallions, sesame, and boiled egg",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,BAMEE MOO DANG,"Egg noodle and bok choy in house clear broth topped with roast porkk, fried garlic, scallions and cilantro. With a choice of wonton, fish ball or fish tofu topping)",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,DUCK NOODLE SOUP,"Egg noodle and sliced roasted duck served with bean sprouts, black mushrooms and celery.",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,TOM YUM NOODLE SOUP,"Rice noodle with shrimp and grounded chicken in Thai hot & sour broth topped with fried wonton, grounded peanut and bean sprout, sprinkled with chili peppers, fried garlic, scallions and cilantro",$9
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,BEEF STEW NOODLE SOUP,"Rice noodle or egg noodle and beef stew in Thai boat noodle broth topped with fried garlic, bean sprout, scallions and cilantro",
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,KAO SOI (NOODLE CURRY),"A choice of chicken, beef or tofu with noodle onion, bell pepper and scallion flavored with coconut curry, onion topped with crispy noodles.",$10
Phila Fusion,https://philafusion.com/,NOODLE SOUP,Lunch,PHO' SOUP,"**Vietnamese soup noodles in an aromatic broth, garnished w/ scallions, onions, and cilantro. **Served w/ bean sprouts, basil, mint and lime.","Tofu & Vegetable $8 | Shredded Chicken $9 | Beef Eye Round $9 | Beef Brisket $9 | Shrimp $10 | Shrimp and Fish Ball $10 | Beef Eye Round & Brisket $10 | Seafood(shrimp,squid,scallop,fish ball $11 | Beef Eye Round, Brisket & Beef Ball $11"
Phila Fusion,https://philafusion.com/,WOK NOODLE,Lunch,PAD KEE MOW (DRUNKEN NOODLE),"Lomein noodle or large rice flat noodle stir-fried with shrimp, squid, scallop, carrots, bell peppers, zucchini, tomato and basil in Thai spicy sauce",
